Year,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1937,,0.080983779528,0.018927007874,,,,,4.5608567073,0.22655481653,0.050218822284,9.2128237521,4.1645294933,1.3609009036,,0.888,0,0,2.882939345,24.644682913,,0,,,0.010130259778,0.37905300563,,1.6613674016,,0.056,0.76085401575,0,0,,25.513921339,,0,0,1.4406512598,19.369173734,0.75986230716,,0,,,0,0.40731634153,,0.75580546866,,11.106318275,1.7528870692,0.027991589385,4.4472538583,,,,0.266,0.18763503937,,,,1.0513671415,,,,,1.850546072,59.417304173,,0,,0.4216046219,153.79709906,,0.97868370079,,,,0,,,,,,3.7175700418,0.005,12.300022625,6.917,1.704,2.826,8.649,0.021821574803,12.32919063,,34.233341691,,6.8948617761,,,,,0.59528451626,,0.67986815926,0.016862125984,,,,,1.0659795197,,,0.20948563368,,,0.64,,,,,,,6.7966188189,,0.037402020072,,0.10082968504,0.015983779528,0.878,,,,12.008513386,,1.1958053543,,0,0.267,,3.2096432607,,,0,,,,,2.4019108245,0.032837795276,0.014991310461,15.375580709,1.3457163525,,,0.097382614957,1.067906194,0,0,7.7684971654,63.325315693,0,,,0.083684754688,,,0.007,0,1.1025230656,,,,3.5545739042,0.3126894132,,,10.048075433,1.4315782677,,,,,,,7.8990348819,2.856,0.016862125984,1.433,0.33780711097,0.0099188976378,,,,1.978,0.0079351181102,1.1587648031,0.85624748991,,,,20.111748575,,127.7649466,,489.24942051,0.019837795276,2.6246049409,,2.5649513386,1.7027404724,,,,0.746,1109.6187142,111.51469778,1025.0143738,196.11903818,332.94074747,11.420377652,92.740171075,2.8778393054,555.97369464,12.46231063,521.55996067,10.408629106,13.690428945,0,2.2737367544e-13,1221.133412
1903,,,0,,,,,0.781,0.043955739643,0,3.0634301267,7.014,0.26348565552,,,0,,0.5552890706,14.364,,0,,,0,0.037282505821,,0.666,,,0.064,0,0,,7.631,,0,0,0.59,0,,,0,,,0,0.040527229024,,0,,9.9281898213,0,,1.563,,,,,,,,,0.2013019434,,,,,0.14,35.301,,0,,0.081759700495,93.777,,0.109,,,,0,,,,,,2.504,,4.0398802821,0.819,,,0,,4.18,,7.038,,1.322484772,,,,,0.11422572664,,0.13191933569,,,,,,0.20643312496,,,0.021349733343,,,0.014,,,,,,,0.425,,0.0036793857144,,,,,,,,4.175,,0.865,,0,,,1.157,,,0,,,,,0.058,,,18.692,0.688,,,0,0.20534830832,0,0,0.504,12.172289505,0,,,0,,,,0,0.10827719808,,,,3.1928101787,0.030883948021,,,2.124,3.323,,,,,,,2.676,1.548,,0.059,0.065110943661,,,,,,,0.329,0.16670118584,,,,3.8659029006,,117.354,,244.10669554,,0.51779208737,,,0.152,,,,0.031,601.60738365,13.594622295,585.96631156,29.235694391,202.80606558,2.155,14.697396093,0,339.83448419,0.329,252.16269554,3.9284301267,2.095,0,0,615.20200595
1938,,0.095,0.009,,,,,4.4616290629,0.23914715006,0.054448546707,9.1967077482,1.5792858472,1.436509665,,0.949,0,0,3.0429337434,21.593634096,,0,,,0.010983489807,0.35903448183,,1.6633183305,,0.059,0.86580512931,0,0,,23.347034882,,0,0,1.5085944882,16.748231127,0.81984590551,,0,,,0,0.38484937293,,0.81946384823,,12.715740412,2.3456842105,0.032983272638,3.9932944094,,,,0.281,0.23958637795,,,,1.1101195784,,,,,1.5544728346,55.076,,0,,0.44503191337,164.10279008,,0.77565980847,,,,0,,,,,0.014878346457,4.0315620472,,13.749906711,7.296,1.615,2.7198783465,8.673,0.012894566929,12.275915296,,35.953909382,,7.2770176321,,,,,0.62828310694,,0.71617311458,0.016862125984,,,,,1.1252272614,,,0.19663653868,,,0.522,,,,,,,6.6225863155,,0.035425490556,,0.1268215748,0.01097323622,0.843,,,,11.819497165,,1.1587566929,,0,0.266,,2.8596349117,,,0,,,,,2.1848865086,0.042813464567,0.017975669291,16.358102089,1.1237080315,,,0.13031578947,1.1271316681,0,0,7.2905053434,66.836818233,0,,,0.090733176668,,,0.056,0,1.0445921668,,,,4.0892595879,0.29592119334,,,10.562034882,3.6083430709,,,,,,,7.1329051181,2.8542862992,0.016862125984,1.61,0.35655447307,0.010910787402,,,,2.276,0.008927007874,1.2647078005,0.90387927438,,,,21.227006001,,122.52728954,,413.68718185,0.020829685039,2.7708520812,,1.6709594245,1.7337080315,,,,0.756,1035.9872748,112.18438528,947.07998927,201.09167077,336.33864923,12.012326351,95.117633146,3.2516290614,558.5444383,12.604326619,443.65680305,10.355464441,12.629039075,0,0,1148.17166
1939,,0.118,0.044,,,,,4.7427591339,0.24209177972,0.05081162457,10.366720863,1.7291813394,1.4541550551,,0.869,0,0.001,3.0802405164,20.117185748,,0,,,0.010249841259,0.3767458261,,1.6232290528,,0.717,0.95080514944,0,0,,25.928994292,,0,0,1.3666269291,20.313043318,1.2658134646,,0,,,0,0.40425153705,,0.76472728701,,13.972169759,3.0615893266,0.023961070866,4.4492295276,,,,0.29198372379,0.60758705714,,,0.0039675590551,1.1233740057,,,,,1.329375981,53.116,,0,,0.4505115449,177.02660677,,0.068618818898,,,,0,,,,,0.014878346457,3.942,,13.458576931,7.969813488,3.318,3.1467161417,8.202,0.014878346457,12.587363386,,34.865404097,,7.3661167096,,,,,0.63597663944,,0.72459767138,0.01587023622,,,,,1.1390526765,,,0.20741721575,,,0.465,,,,,,,6.1855458268,,0.037173958974,,0.087,0.017967559055,0.882,,,,11.108399843,,1.2177404724,,0,0.224,,3.4155701575,,,0,,,,,1.5968701549,0.023,0.023,14.165,1.2966755906,,,0.17008829592,1.1409561966,0,0,6.874416063,67.656529947,0,,,0.084672601708,,,0.451,0,1.0959039438,,,,4.4897239544,0.31069009707,,,10.95995378,4.2886861417,,,,,,,7.996694252,3.237,0.01587023622,1.96,0.3609312907,0.012894566929,,,,2.58,0.0089343070866,1.3386837008,0.91500984774,,,,21.487321888,,123.487,,456.03724541,0.023805354331,2.8052865511,,1.9099026772,1.9356593701,,,,0.81,1094.0563416,120.80373224,1003.8951897,210.96488408,346.35681445,12.787371333,100.07902716,3.4914613545,571.6966741,14.22530252,488.15178553,11.584461335,12.843990491,0,2.2737367544e-13,1214.8600738
1944,,0.042,0.13589533651,,,,,3.8078077953,0.21173096161,0.059042192226,11.197317409,2.563,1.2691874068,,0.769,0,0,2.6747789901,9.0443350341,,0,,,0.011910130862,0.0038514985353,,1.609107874,,0.681,1.197862126,0,0,,38.320742881,,0,0,1.6756025984,28.112327588,1.293692049,,0,,,0,0.0041866972133,0.023805354331,0.88859932863,,17.993472597,4.9641127554,0.046902677165,5.5352862992,,,,0.36195956053,1.1895300013,,,0.0049594488189,0.96965389268,,,,,0.74380535433,21.830361732,,0,,0.39382934168,163.83,,0.03,,,0.0029756692913,0,,,,,,4.327829685,0.1236425399,13.017464343,2.394,3.486,1.7347566929,11.369959445,0.023805354331,0.97650924083,,37.863731661,,6.3702937265,,,,,0.55021535613,,0.6354439267,0.017854015748,,,,,0.99437034643,,,0.0022055509652,,,0.301,,,,,,,5.4923268504,,0.00038010183,,0.11487834646,0.014969586614,0.084,,,,6.3687648031,,1.4927485827,0.00099188976378,0,0.452,,1.3316434173,,,0,,,,,1.7617240954,,0.037967559055,51.594,0.88573205979,,,0.27578404197,0.98914487933,0,0,4.1096430628,58.632856207,0,,,0.098388037553,,,0.89,0,0.011185660958,,,,5.7865274025,0.003190490498,,,14.892767244,7.0389646198,,,,,,,3.395832126,1.2145296063,0.0049594488189,1.2637323622,0.31363373304,0.0039675590551,,,,2.94,0.02493511811,1.9166837008,0.8029850633,,,,18.621716875,,120.63989051,,667.27715706,0.025789133858,2.4941592944,,4.1278702362,0.389,,,,1.309,1268.3095049,128.49963029,1193.4976282,203.31150699,311.59352819,18.185837759,101.75615519,4.0257126027,515.88135403,18.478261965,711.09022679,12.690065991,14.701520902,0,-2.2737367544e-13,1396.8091352
1940,,0.189,0.065,,,,,4.3298075199,0.29026977425,0.041061285801,9.6469672776,2.0040997638,1.742816516,,0.81,0,0,3.6914985409,16.949764803,,0,,,0.0082829798286,0.43321655525,,1.7701808661,,0.808,1.119,0,0,,29.645677987,,0,0,1.4355782677,24.779074313,1.1367891339,,0,,,0,0.47091970255,,0.61798232112,,15.746859291,3.9382105263,0.020974452756,4.0455133858,,,,0.29698377953,0.82660259843,,,0.0019837795276,1.3428342238,,,,,0.63166748031,37.592,,0,,0.54022485394,178.58215088,,0.064789133858,,,,0,,,,,,4.319,0.11599563512,14.276617557,7.842,2.099,3.1446999213,7.4039270079,0.019837795276,13.381704016,,41.824312283,,8.8289845002,,,,,0.76225064762,,0.87827396689,0.0059513385827,,,,,1.3650259991,,,0.24808037257,,,0.701,,,,,,,6.3344648089,,0.042753853839,,0.108,0.017967559055,0.866,,,,9.126,,1.2987568801,,0,0.228,,1.7766269291,,,0,,,,,1.445862126,0.031,0.034975669291,45.646,1.0636999213,,,0.21878947368,1.3678546244,0,0,6.5355620472,81.111189599,0,,,0.068424615975,,,0.586,0,1.2581631446,,,,5.0612940751,0.35886637122,,,11.331083543,5.9002806299,,,,,,,5.0422295276,2.2682862992,0.0059513385827,2.12,0.43267818831,0.01587023622,,,,2.93,0.015930792651,1.4927078358,1.0968228182,,,,25.762450875,,129.679,,511.73174104,0.022813464567,3.3682931175,,3.3689026772,1.847691811,,,,0.935,1195.2332399,131.55318898,1087.4921959,239.29423299,360.37223514,13.550542726,116.33090662,3.6657512027,608.31635157,12.423375316,547.71188383,10.945724158,13.841893504,0,-2.2737367544e-13,1326.7864289
1941,,0.17098377953,0.085,,,,,3.8047104724,0.25499648659,0.050040294954,10.735458271,2.1760677511,1.5312837383,,0.778,0,0,3.2445523847,17.79030252,,0,,,0.010094246822,0,,1.7141565354,,0.537,1.207,0,0,,32.792532047,,0,0,1.5196025984,31.107687946,1.0187648031,,0,,,0,0,0.020829685039,0.753118589,,15.850358913,4.3915797265,0.027951338583,4.7485377165,,,,0.19898377953,1.0785377165,,,0.00099188976378,1.179880468,0.0029756692913,,,,0.88565937008,32.731244961,,0,,0.47444953491,180.34748584,,0.036927007874,,,0.0029756692913,0,,,,,0.014878346457,4.8722619685,0.11250715612,14.623662599,7.2288134388,1.312,2.3056755906,5.6829432184,0.01587023622,11.706917847,,42.195568735,,7.7582705239,,,,,0.66986945461,,0.77180582129,0.0059513385827,,,,,1.1999712444,,,0,,,0.596,,,,,,,6.1534079528,,0,,0.106,0.015967559055,0.869,,,,10.132489106,,1.364756871,,0,0.27,,1.3136512598,,,0,,,,,1.4328134646,0.024797244094,0.028975669291,44.979,1.0316999213,,,0.24397665147,1.2020472999,0,0,6.1533188508,71.258281698,0,,,0.083387256358,,,0.494,0,0,,,,5.0934477705,0,,,12.098034882,5.8701914173,,,,,,,4.105286473,1.8082137417,0.0059513385827,2.1657646945,0.38018792599,0.01587023622,,,,2.702,0.03693511811,1.5336997255,0.96349012399,,,,22.632217453,,128.17999513,,557.74697061,0.023805354331,2.951470291,,4.1098702362,1.7266674803,,,,1.022,1225.3156835,131.34764654,1131.5596456,225.10368445,355.17553055,14.744394173,120.72528518,3.6224457415,585.09798046,9.8284158573,596.69291061,12.100215142,13.851682913,0,2.2737367544e-13,1356.6633301
1945,,0.033,0.16788645669,,,,,3.729799685,0.22319267348,0.068602559606,10.687665209,1.245,1.3385895538,,0.836,0,0,2.8280733023,10.577286299,,0,,,0.013838670814,0.21893287712,,1.8621484252,,0.251,1.4217323622,0,0,,35.622515827,,0,0,1.5395458268,15.254423193,1.2226672082,,0,,,0,0.23661956717,0.029756692913,1.032485179,,9.5491011009,0.017854015748,0.046917134543,3.8327566929,,,,0.33495944882,1.1885214961,,,,1.0270614009,,,,,0.1746935621,29.248264409,,0,,0.4152911058,31.677,,0.017943228346,,,0.0039675590551,0,,,,,,2.2379594307,0.11800407191,14.430686753,1.039,3.857,1.8647891339,14.436975669,0.019837795276,1.1877418552,,20.915710472,,6.7497490111,,,,,0.58286556225,,0.6723916188,0.019837795276,,,,,1.0485598521,0.0069432283465,,0.12371509509,0.002,,0.167,,,,,,,6.1721808661,,0.021604988017,,0.14291889764,0.012962345332,0.081,,,,3.9987485827,,1.5337403031,0.0019837795276,0,0.377,,1.0948459055,,,0,,,,,1.710708202,0.0039675590551,0.045967559055,16.227667501,0.9107080315,,,0.00099188976378,1.0472058559,0,0,5.159724252,62.074665,0,,,0.11431945455,,,2.405,0,0.63619079064,,,,3.0708988991,0.18106958208,,,15.247840236,7.7148751181,,,,,,,1.2416607336,0.44254582677,0.0049594488189,0.597,0.33159855518,,,,,3.008,0.02593511811,1.9346837008,0.84479512367,,,,19.71625144,,113.98045827,,643.98238819,0.029756692913,2.6117195584,,4.2998702664,0.16799188976,,,,1.2179270079,1044.699987,117.18220053,964.03728294,197.84490454,134.53119644,18.429908692,66.024426916,4.2729538955,336.86668986,23.514294409,685.77708489,12.221405513,14.775423314,0,0,1161.8821875
1958,0.09,0.3279107874,1.4230673228,,0.16181346457,,0.008,12.061274961,0.78619644187,0.15252505695,21.270827719,7.6656237008,4.7300674073,0.049,0.352,0.51751127945,0.041,10.032473893,23.93152315,0.011,0.034,0.04,,0.030767715754,1.1749203869,0,10.658823228,0,0.087,4.26497,0.001,0.0027428571429,0.054,49.714844331,0.004,0.031277227723,0.019693069307,3.3981970866,143.18151183,3.8146455906,,0.059079207921,,0.122,0.136,1.2644748073,4.9112134672,2.2955391406,0.20891121222,25.319881671,4.2666537008,0.79857069478,7.3118238549,0.013,0.002,0.29069992126,0.3608215748,3.7343292913,0.16290267717,0.013,,3.655739515,0.086967559055,0.032,,0.048,2.8949781102,72.640206929,0.014,0.0069504950495,0.007,1.4640037518,206.43536342,0.372,2.032523937,0.062,0.004,0.30787023622,0.045,0.003,0.125,0.074959448819,0.16,0.64782968504,10.710564488,0.29796755906,26.150594977,6.0606674254,1.8192619685,2.4444241732,6.8855458268,1.5112133071,23.907855157,0.36980587898,49.443471339,0.14287834646,24.055976044,0.56975669291,,,1.007,2.0768752908,0.02,2.3885845884,0.5404403937,,0.044,0.096,,3.6985646839,2.7527810236,0.008,0.6490523919,0.102,0.11247566672,1.0458784626,,,0.09,,,0.057,14.740201969,0.31,0.11593105815,0,0.89155343638,0.49580535433,0.65795944882,,,0.016,18.201491496,0.202,2.778383622,0.16395944882,0.007,1.0158783465,,3.0528645669,,,2.790287585,,0.25393068648,0.04,0.065991889764,2.0123349606,2.0632944094,0.2499676883,48.235420273,2.0618726772,0.046,0.075991995092,2.4586754586,3.7349047972,0.029313145217,0.32261171512,13.590161208,220.54867908,0.0052571428571,0,0.003,0.25416808667,0.003,0.002,0.545,0.096837795276,3.4176472051,0,0.057,0.627,8.0929257225,0.96910705572,0.003,0.023,26.269999213,15.249128189,0.53191095478,,0.011,0.003,0.087,0.001,11.482234169,4.4445912598,0.59157015748,2.6118812156,1.1752115938,0.82349716535,,0.013,0.002,0.94883796602,0.39461978148,4.3763289096,2.9702784178,,,0.079886456693,70.051683771,0,151.8329263,0.219,749.7564567,1.0855214961,9.0850974288,0,14.862215868,1.3686674803,,0.514,1.1176034826,1.5250401646,1844.3949202,396.12181571,1555.0724188,685.44431712,521.50113521,40.576121578,292.28699879,10.716179731,991.21468827,18.33123891,814.284503,24.325211341,48.781794344,56.743,3.9790393203e-13,2297.259736
1904,,,0,,,,,1.036,0.048904457543,0,3.1506523052,7.426,0.29314995398,,,0,,0.61780579734,13.742,,0,,,0,0.039747464884,,0.715,,,0.082,0,0,,9.033,,0,0,0.537,0,,,0,,,0,0.043206715241,,0,,10.025042828,0,,1.686,,,,,,,,,0.22396534388,,,,,0.144,34.388,,0,,0.090964543746,97.195,,0.097,,,,0,,,,,,2.532,,4.5199253385,0.919,,,,,4.418,,7.929,,1.4713755453,,,,,0.1270857286,,0.14677135691,,,,,,0.22967421496,,,0.022761285961,,,0.009,,,,,,,0.469,,0.0039226508856,,,,,,,,4.412,,0.937,,0,,,1.135,,,0,,,,,0.076,,,18.936,0.704,,,0,0.22846726519,0,0,0.597,13.542695906,0,,,0,,,,0,0.11543602109,,,,3.2239571722,0.032925861939,,,2.393,3.546,,,,,,,2.818,1.627,,0.06,0.072441401414,,,,,,,0.373,0.18546909077,,,,4.3011421446,,117.902,,240.73622779,,0.57608724957,,0.001,0.219,,,,0.039,606.94226164,15.259543795,589.3787713,32.823034133,206.64854349,2.432,16.521403309,0,346.18452203,0.373,250.23822779,4.0876523052,2.365,0,1.1368683772e-13,622.20180543
1959,0.10495944882,0.39391889764,1.5439456693,,0.16882968504,,0.008,13.359388504,0.82657540688,0.19633485194,22.672433147,7.6173317323,4.9744003851,0.071,0.358,0.50218530736,0.041,10.549272329,24.102101417,0.011,0.028,0.037,,0.039605131366,1.3468785493,0,10.648766457,0,0.089,5.3554185039,0.002,0.010628571429,0.058,50.349714567,0.0049918897638,0.027,0.017,3.4670754331,196.54791399,4.3904999478,0.003,0.051,,0.105,0.149,1.4499104259,4.2753106299,2.9548871924,0.2269107874,25.34729784,5.4218747263,0.7366188189,7.1054669496,0.01,0.003,0.30378913386,0.35282968504,3.4680292126,0.1649107874,0.013,,3.8441165918,0.091975669291,0.027,,0.054,3.6997104724,71.47655811,0.008,0.006,0.005,1.5393247608,206.27581355,0.361,2.2164103937,0.064,0.004,0.33787023622,0.043,0.004,0.151,0.068959448819,0.15999188976,0.73784590551,11.436418642,0.3379107874,27.687569833,6.5126188189,1.9962700787,3.3603106299,6.9783592913,1.529140315,25.678112047,0.50178102362,52.570957165,0.17887834646,25.298784381,0.60265068054,,,1.037,2.1842316586,0.021,2.5116716693,0.66818086614,,0.039,0.118,0.0031953659411,3.8882059989,2.8437891339,0.01,0.74458647807,0.102,0.12547524071,0.86878937623,,0.013,0.106,,0.009,0.061,15.908015433,0.367,0.13289880384,0,0.91944850394,0.48976480315,0.75795944882,,,0.018,18.318231969,0.161,2.816383622,0.13095944882,0.006,0.97286226754,,3.2227510236,,,2.7077055923,,0.27189456693,0.044,0.082983779528,1.9693592913,1.9721970866,0.25896755906,51.763136299,2.1778645669,0.05,0.075991889764,3.0626025984,3.9296989207,0.031061940812,0.34185117295,13.821853228,231.87721339,0.020371428571,0,0.003,0.32717282433,0.004,0.002,0.50591889764,0.10581346457,3.9177552281,0,0.064,0.491,8.0952367215,1.1110244137,0.003,0.024,25.784080315,14.213682126,0.56089437866,,0.009,0.003,0.1,0.001,11.568885669,4.5310397638,0.60750446056,2.9998240157,1.2355730955,0.9064403937,,0.015,0.002,0.84380535433,0.43351450448,4.6920863919,3.1238756635,,,0.1129107874,73.643620029,0.003,149.1828963,0.188,772.90478093,1.1975377165,9.5567101933,0,17.780931773,1.8025782677,,0.71,1.2466707184,1.701191614,1893.3914552,465.04000032,1589.4992868,768.93216877,529.61146989,40.349678848,355.6443919,10.95127252,1013.4521058,19.314338648,839.23551093,25.724816769,53.759340146,58.234,3.7658764995e-13,2416.6654555
1960,0.11295980453,0.55191889764,1.678832126,,0.14982275643,,0.01,13.309088425,0.8607704575,0.16882118451,23.86579417,8.4018775591,5.1813558089,0.112,0.157,0.60368596605,0.047,10.986204366,24.811157994,0.012,0.044,0.043,,0.034055009205,1.4712248902,0,12.787068976,0,0.091,6.0782479008,0.012,0.0099428571429,0.064,52.597209291,0.0059918897638,0.024,0.015,3.6780754331,218.01307881,4.473386063,0.003,0.061,,0.134,0.126,1.5843793508,3.73556193,2.5407998172,0.24190267717,27.034011281,6.4924777165,0.63278102362,8.1194105894,0.011,0.003,0.28381346457,0.48078102362,4.3757453543,0.16890267717,0.006,,4.0029526909,0.095967559055,0.016,,0.053,4.1176131496,80.817174792,0.01,0.036,0.005,1.6031037548,222.14798308,0.399,2.5631907119,0.061,0.006,0.36687834646,0.112,0.005,0.18,0.077943228346,0.16795944882,0.80583759378,12.371264269,0.33091914192,30.383475507,5.8365702311,2.2533187402,3.0481811347,10.19612418,1.763107874,29.804335906,0.40076480315,63.455142126,0.2028215748,26.348038372,0.66161129583,0,,2.128,2.2749551871,0.022,2.6156647061,0.70305787435,,0.045,0.189,0.0042161579077,4.0485009676,3.1407648031,0.014,0.81381161159,0.109,0.11963618543,1.1466839763,,0.033,0.093,,0.01,0.049,17.208593701,0.353,0.14516849091,0,0.99235929134,0.51375669291,0.74095133858,,,0.022,20.043012992,0.235,3.1473187402,0.14496755906,0.008,0.92881366514,,3.5717266929,,,3.2550319196,,0.27187834646,0.049,0.082983779528,2.2283352589,2.2721240945,0.27395944882,54.469725118,2.2416780315,0.048,0.074,3.4225213562,4.0954369225,0.030895388851,0.34000669185,14.572634252,241.41781855,0.019057142857,0,0.004,0.28132398908,0.004,0.003,0.72990267717,0.22581346457,4.2794028199,0,0.195,0.38,8.6335192521,1.2136596808,0.003,0.023,26.704015545,13.336674016,0.61590267717,,0.01,0.003,0.118,0.009,13.41990189,5.3216504724,0.87846472441,3.240694252,1.2865124026,1.012416063,,0.018,0.003,0.70380507745,0.47055298794,4.5847534646,3.2544602733,,,0.11491889764,76.662468844,0.003,159.39410961,0.226,790.75198149,1.1775458268,9.9601391661,0,15.561361732,2.042553937,,0.991,1.1886622382,1.6220318466,1993.1578714,503.6547919,1676.8309925,819.9816708,572.97241879,42.7312149,395.30644279,9.7974748815,1082.0344963,24.63855111,860.62878448,27.32511291,54.350585968,64.983547202,-5.8264504332e-13,2561.7962105
1946,,0.132,0.2078708571,,,,,3.7397429134,0.25014219764,0.076904080431,11.66489142,3.482570034,1.5007656524,,0.917,0.032061611374,0,3.1756711167,15.395915669,,0,,,0.015513273258,0.43266166174,,2.0360920992,,0.258,1.358,0,0,,37.778972495,,0,0,1.4823592913,9.8545435165,1.3536350394,,0,,,0,0.46519062357,0.045708031496,1.157425083,,11.891082257,0.019837795276,0.084910787402,4.8154485039,,,,0.30095944882,1.1523511811,,,,1.1546072054,,,,,0.89563503937,45.099664304,,0,,0.46552792985,74.149137087,,0.033886456693,,,0.0039675590551,0,,,,,,2.9468215142,0.13915950621,14.253547318,0.367,3.918,2.2366674803,16.438951342,0.035708031496,6.049769685,,14.38497811,,7.5897207626,,,,0.67,0.65531830192,,0.7554082843,0.019837795276,,,,,1.175456909,0.0099188976378,,0.24038295994,,,0.165,,,,,,,6.9931888604,,0.042693037546,,0.18680638968,0.014969586614,0.002,,,,8.488553937,,1.5097485827,0.00099188976378,0,0.447,,1.9305214961,,,0.17293838863,,,,,1.5737161417,0.03093511811,0.043966804615,28.546459055,1.0616431496,,,0.13299182832,1.1769762073,0,0,4.766651333,69.760869395,0,,,0.12815312691,,,6.865,0,1.2581165486,,,,3.8123872711,0.35715009215,,,15.295702362,7.665631811,,,,,,,4.742386063,1.5732376378,0.0059513385827,0.781,0.37234106437,,,,,2.985,0.03590823847,1.9166431496,0.94565551803,,,,22.15861356,,119.0306278,,616.12821073,0.03869992126,2.914750116,,21.847862126,0.19495944882,,,,1.1769270079,1127.4158734,140.63096186,1037.5365744,230.5102608,231.35604266,18.60244641,55.344014678,4.413663044,452.40757358,30.787091657,660.90037209,13.174640003,32.417033786,0,-2.2737367544e-13,1268.0468352
